company,job_title,job_category,seniority,country,min_experience_clean,min_experience,avg_salary_lpa,min_salary_lpa,max_salary_lpa,num_of_salaries,skill_python,skill_r,skill_sql,skill_excel,skill_tableau,skill_power_bi,skill_machine_learning,skill_statistics,skill_spark,skill_hadoop,skill_aws,skill_azure,skill_tensorflow,skill_pytorch,skill_nlp,skill_computer_vision,skill_big_data,skill_etl,skill_git,skill_docker,skill_data_visualization
TCS,Data Scientist,Data Scientist,Mid-Level,India,2,2,7.8,4.5,16.0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accenture,Data Scientist,Data Scientist,Mid-Level,India,2,2,12.8,5.8,23.0,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBM,Data Scientist,Data Scientist,Mid-Level,India,2,2,13.4,5.3,25.0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cognizant,Data Scientist,Data Scientist,Mid-Level,India,2,2,9.8,5.0,18.0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capgemini,Data Scientist,Data Scientist,Mid-Level,India,2,2,8.6,4.8,14.6,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infosys,Data Scientist,Data Scientist,Mid-Level,India,2,2,9.3,4.5,24.0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wipro,Data Scientist,Data Scientist,Mid-Level,India,2,2,9.7,4.5,18.2,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tech Mahindra,Data Scientist,Data Scientist,Mid-Level,India,2,2,7.6,4.1,15.4,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fractal Analytics,Data Scientist,Data Scientist,Mid-Level,India,2,2,15.9,10.0,23.0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deloitte,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.2,7.0,25.0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
